x0_1;x0_2;HJ_X1;HJ_X2;HJ_Y;HJ_Wywolania;;;Rosen_X1;Rosen_X2;Rosen_Y;Rosen_Wywolania;
-0.25;0.99;3.29597e-17;0.774716;0,619837;69;;;;-0.0900012;0.910001;1,42636;69
-0.02;0.86;-1.73472e-17;0.774716;0,619837;169;;;;-1.35777e-08;0.774716;0,619837;169
-0.69;-0.96;-0.774716;-0.774716;1,23967;69;;;;-0.769999;-0.800001;1,26053;69
0.79;-0.16;0.774716;-2.77556e-17;0,619837;69;;;;0.774716;-1.2207e-06;0,619837;69
0.74;-0.09;0.774716;3.29597e-17;0,619837;293;;;;0.774716;-9.46036e-07;0,619837;293
0.02;0.41;1.73472e-17;0.774716;0,619837;69;;;;1.2207e-06;0.569999;1,55835;69
0.84;0.68;0.774716;0.774716;1,23967;269;;;;0.774717;0.774716;1,23967;269
0.72;0.1;0.774716;8.67362e-17;0,619837;317;;;;0.774716;5.84026e-07;0,619837;317
-0.38;-0.71;7.28584e-17;-0.774716;0,619837;69;;;;-0.220001;-0.774716;1,82468;69
-0.38;-0.34;7.28584e-17;7.97973e-17;0;69;;;;-0.220001;-0.180001;2,08082;69
0.03;-0.86;2.60209e-17;-0.774716;0,619837;217;;;;-8.44125e-07;-0.774715;0,619837;217
0.08;0.19;6.93889e-17;-5.72459e-17;0;213;;;;-1.44344e-06;6.78564e-07;8,10E-11;213
0.1;0.38;8.67362e-17;0.774716;0,619837;69;;;;0.0200012;0.539999;1,75831;69
0.62;0.92;0.774716;0.774716;1,23967;533;;;;0.774715;0.774716;1,23967;533
-0.42;0.8;3.81639e-17;0.774716;0,619837;69;;;;-0.260001;0.774717;2,14144;69
-0.47;-0.7;-0.774716;-0.774716;1,23967;77;;;;-0.679704;-0.796569;1,51098;77
0.98;-0.02;0.774716;-1.73472e-17;0,619837;345;;;;0.774716;6.17514e-07;0,619837;345
-0.29;-0.13;1.21431e-17;-1.73472e-18;0;69;;;;-0.130001;-1.2207e-06;0,49441;69
-0.82;-0.94;-0.774716;-0.774716;1,23967;69;;;;-0.774717;-0.780001;1,24055;69
0.91;-0.68;0.774716;-0.774716;1,23967;297;;;;0.774716;-0.774716;1,23967;297
0.05;-0.24;4.33681e-17;4.16334e-17;0;69;;;;1.2207e-06;-0.0800012;0,197389;69
0.41;-0.69;0.774716;-0.774716;1,23967;69;;;;0.569999;-0.769999;2,17888;69
-0.38;-0.65;7.28584e-17;-0.774716;0,619837;69;;;;-0.220001;-0.729999;1,88511;69
-0.32;-0.48;9.71445e-17;-0.774716;0,619837;69;;;;-0.160001;-0.559999;2,33922;69
0.36;-0.93;4.85723e-17;-0.774716;0,619837;101;;;;0.00547488;-0.76723;0,622535;101
-0.67;-0.26;-0.774716;2.42861e-17;0,619837;69;;;;-0.749999;-0.100001;0,941523;69
0.09;0.34;7.80626e-17;3.1225e-17;0;77;;;;0.05;0.0737276;0,247076;77
-0.65;0.04;-0.774716;3.46945e-17;0,619837;309;;;;-0.774716;-1.09758e-08;0,619837;309
0.66;0.54;0.774716;0.774716;1,23967;69;;;;0.774716;0.699999;1,40274;69
-0.25;-0.71;3.29597e-17;-0.774716;0,619837;69;;;;-0.0900012;-0.774716;0,867538;69
-0.69;-0.38;-0.774716;7.28584e-17;0,619837;69;;;;-0.769999;-0.220001;1,82537;69
-0.46;-0.33;-0.774716;8.84709e-17;0,619837;69;;;;-0.539999;-0.170001;2,54106;69
-0.97;0.41;-0.774716;0.774716;1,23967;69;;;;-0.810001;0.569999;2,21754;69
0.12;0.87;1.04083e-16;0.774716;0,619837;265;;;;2.28362e-07;0.774716;0,619837;265
0.73;-0.53;0.774716;-0.774716;1,23967;77;;;;0.774222;-0.730995;1,2975;77
0.56;0.29;0.774716;1.73472e-18;0,619837;69;;;;0.719999;0.210001;1,83196;69
0.78;-0.87;0.774716;-0.774716;1,23967;173;;;;0.774716;-0.774716;1,23967;173
0.85;0.13;0.774716;-1.09288e-16;0,619837;333;;;;0.774716;-6.81227e-07;0,619837;333
-0.87;-0.93;-0.774716;-0.774716;1,23967;241;;;;-0.774714;-0.774716;1,23967;241
-0.53;-0.34;-0.774716;7.97973e-17;0,619837;69;;;;-0.609999;-0.180001;2,16963;69
-0.58;-0.4;-0.774716;5.55112e-17;0,619837;69;;;;-0.659999;-0.240001;2,34824;69
-0.57;0.79;-0.774716;0.774716;1,23967;305;;;;-0.774716;0.774715;1,23967;305
-0.13;-0.1;-1.73472e-18;2.42861e-17;0;201;;;;-1.06455e-06;-6.07063e-07;4,78E-11;201
-0.78;-0.33;-0.774716;8.84709e-17;0,619837;69;;;;-0.774716;-0.170001;1,4153;69
-0.2;0.59;4.85723e-17;0.774716;0,619837;69;;;;-0.0400012;0.749999;0,689169;69
-0.87;-0.55;-0.774716;-0.774716;1,23967;205;;;;-0.774716;-0.774717;1,23967;205
0.39;-0.13;0.774716;-1.73472e-18;0,619837;69;;;;0.549999;-1.2207e-06;1,68519;69
-0.71;-0.56;-0.774716;-0.774716;1,23967;317;;;;-0.774716;-0.774716;1,23967;317
0.63;0.98;0.774716;0.774716;1,23967;337;;;;0.774716;0.774717;1,23967;337
-0.63;0.95;-0.774716;0.774716;1,23967;77;;;;-0.767816;0.781543;1,24262;77
0.92;0.6;0.774716;0.774716;1,23967;69;;;;0.840001;0.759999;1,38109;69
-0.27;0.45;2.94903e-17;0.774716;0,619837;69;;;;-0.110001;0.609999;1,65631;69
-0.13;0.11;-1.73472e-18;9.54098e-17;0;245;;;;-1.47228e-06;2.47381e-08;6,90E-11;245
-0.97;0.38;-0.774716;0.774716;1,23967;69;;;;-0.810001;0.539999;2,40478;69
-0.62;-0.46;-0.774716;-0.774716;1,23967;77;;;;-0.693136;-0.693136;1,62492;77
-0.64;-0.43;-0.774716;2.94903e-17;0,619837;69;;;;-0.719999;-0.270001;2,30479;69
-0.81;-0.08;-0.774716;4.16334e-17;0,619837;241;;;;-0.774715;-4.53544e-08;0,619837;241
-0.64;0.01;-0.774716;8.67362e-18;0,619837;321;;;;-0.774715;-2.30247e-08;0,619837;321
-0.38;-0.26;7.28584e-17;3.81639e-17;0;69;;;;-0.220001;-0.100001;1,50774;69
-0.45;-0.19;1.23165e-16;5.72459e-17;0;69;;;;-0.290001;-0.0300012;1,76209;69
-0.73;-0.2;-0.774716;4.85723e-17;0,619837;69;;;;-0.774717;-0.0400012;0,670384;69
0.21;0.93;-6.76542e-17;0.774716;0,619837;77;;;;0.0295532;0.804174;0,674924;77
-0.48;-0.39;-0.774716;6.41848e-17;0,619837;69;;;;-0.559999;-0.230001;2,90898;69
0.78;0.54;0.774716;0.774716;1,23967;69;;;;0.774716;0.699999;1,40274;69
0.19;0.42;-5.72459e-17;0.774716;0,619837;69;;;;0.110001;0.579999;1,8555;69
-0.47;-0.19;-0.774716;5.72459e-17;0,619837;69;;;;-0.549999;-0.0300012;1,71372;69
0.24;0.29;-4.16334e-17;1.73472e-18;0;77;;;;0.111864;0.111864;0,748531;77
-0.22;-0.13;5.89806e-17;-1.73472e-18;0;69;;;;-0.0600012;-1.2207e-06;0,112598;69
0.94;-0.18;0.774716;-4.51028e-17;0,619837;69;;;;0.860001;-0.0200012;0,861312;69
0.54;0.55;0.774716;0.774716;1,23967;69;;;;0.699999;0.709999;1,5266;69
0.14;0.58;-1.00614e-16;0.774716;0,619837;69;;;;0.0600012;0.739999;0,769195;69
0.4;-0.92;0.774716;-0.774716;1,23967;69;;;;0.559999;-0.774716;2,24246;69
0.07;0.42;6.07153e-17;0.774716;0,619837;69;;;;6.07153e-17;0.579999;1,49284;69
0.17;0.6;-7.45931e-17;0.774716;0,619837;69;;;;0.0900012;0.759999;0,874245;69
0.36;-0.7;4.85723e-17;-0.774716;0,619837;77;;;;0.150296;-0.796569;1,27694;77
0.55;0.93;0.774716;0.774716;1,23967;69;;;;0.709999;0.850001;1,54232;69
0.51;-0.21;0.774716;6.76542e-17;0,619837;69;;;;0.669999;-0.0500012;1,00503;69
-0.62;0.84;-0.774716;0.774716;1,23967;245;;;;-0.774715;0.774716;1,23967;245
-0.4;-0.19;5.55112e-17;5.72459e-17;0;69;;;;-0.240001;-0.0300012;1,39516;69
0.75;0.4;0.774716;0.774716;1,23967;69;;;;0.774716;0.559999;2,24246;69
