x0_1;x0_2;HJ_X1;HJ_X2;HJ_Y;HJ_Wywolania;;;Rosen_X1;Rosen_X2;Rosen_Y;Rosen_Wywolania;
-0.53;0.2;-0.774716;-4.85723e-17;0,619837;77;;;;-0.702524;0.0662514;0,909295;77
0.42;-0.04;0.774716;-3.46945e-17;0,619837;69;;;;0.579999;-1.2207e-06;1,49284;69
0.38;-0.28;0.774716;2.08167e-17;0,619837;69;;;;0.539999;-0.120001;2,17222;69
0.52;-0.51;0.774716;-0.774716;1,23967;69;;;;0.679999;-0.589999;2,30119;69
-0.08;-0.9;4.16334e-17;-0.774716;0,619837;293;;;;-1.00997e-07;-0.774716;0,619837;293
-1;0.69;-0.774716;0.774716;1,23967;69;;;;-0.840001;0.774716;1,37439;69
0.96;-0.01;0.774716;-8.67362e-18;0,619837;257;;;;0.774716;-1.14353e-06;0,619837;257
-0.36;0.68;6.245e-17;0.774716;0,619837;69;;;;-0.200001;0.774717;1,65985;69
-0.44;0.87;1.31839e-16;0.774716;0,619837;69;;;;-0.280001;0.790001;2,29338;69
0.25;0.14;-3.29597e-17;-1.00614e-16;0;77;;;;0.0418636;0.0418639;0,110642;77
0.33;-0.69;2.25514e-17;-0.774716;0,619837;77;;;;0.120296;-0.786569;1,05282;77
0.02;0.77;1.73472e-17;0.774716;0,619837;301;;;;-5.39754e-07;0.774716;0,619837;301
0.78;0.9;0.774716;0.774716;1,23967;385;;;;0.774715;0.774717;1,23967;385
-0.56;0.24;-0.774716;-4.16334e-17;0,619837;77;;;;-0.684851;0.0585786;0,958259;77
-0.71;0.93;-0.774716;0.774716;1,23967;273;;;;-0.774716;0.774715;1,23967;273
0.29;0.2;-1.21431e-17;-4.85723e-17;0;77;;;;0.0918634;0.0918642;0,515241;77
-0.38;-0.77;7.28584e-17;-0.774716;0,619837;69;;;;-0.220001;-0.774716;1,82468;69
-0.48;-0.54;-0.774716;-0.774716;1,23967;77;;;;-0.663136;-0.663137;1,92791;77
0.63;0.51;0.774716;0.774716;1,23967;69;;;;0.774716;0.669999;1,54625;69
-0.97;0.81;-0.774716;0.774716;1,23967;69;;;;-0.810001;0.774716;1,27902;69
