SD;X1;X2;x1_res;x2_res;y;f_calls;g_calls;CG;x1_res;x2_res;y;f_calls;g_calls;Newton;x1_res;x2_res;y;f_calls;g_calls
;1,759392;-0,112613;1,747557;-0,872089;0,298641; 446;16;;1,747544;-0,873767;0,298638; 230;9;;1,747552;-0,873776;0,298638; 73;2
;1,658437;1,815668;0,000050;-0,000243;5,17892e-08; 322;10;;-0,000938;0,001652;2,93825e-06; 608;22;;1,747552;-0,873776;0,298638; 109;3
;1,126682;1,265114;0,000250;-0,000141;1,0933e-07; 289;9;;0,000131;-0,000079;3,03145e-08; 355;12;;1,747552;-0,873776;0,298638; 261;6
;0,375195;1,247658;-0,000139;0,000218;5,60804e-08; 283;9;;-0,000020;-0,000231;5,87804e-08; 163;6;;0,000000;0,000000;3,05029e-20; 145;4
;-0,315378;0,224311;-0,000120;0,000194;4,30201e-08; 253;8;;0,000073;0,000222;7,60854e-08; 193;7;;-0,000000;0,000000;7,43254e-18; 109;3
;0,012513;-0,451125;0,000055;-0,000232;4,69525e-08; 253;8;;-0,000132;0,000221;5,45129e-08; 256;9;;-0,000000;-0,000000;9,17893e-17; 73;2
;0,866909;1,239357;-0,000107;0,000181;3,61653e-08; 226;7;;0,000074;-0,000154;2,31113e-08; 196;7;;1,747552;-0,873776;0,298638; 162;4
;0,820521;0,948210;0,000082;-0,000160;2,59393e-08; 190;6;;0,000002;-0,000002;5,30507e-12; 202;7;;1,747552;-0,873776;0,298638; 195;5
;-0,948210;1,981811;-1,747540;0,872591;0,29864; 394;14;;-1,747566;0,874685;0,298639; 365;14;;-1,747552;0,873776;0,298638; 170;4
;1,365093;1,006684;1,747556;-0,872173;0,298641; 458;16;;1,791231;-0,735770;0,3362; 161;6;;-0,000000;-0,000000;7,00973e-21; 190;5
;-0,223701;-0,820643;-0,000092;-0,000362;1,8166e-07; 253;8;;0,000049;-0,000083;7,65803e-09; 94;4;;-0,000000;-0,000000;1,27756e-17; 109;3
;1,449080;0,357128;1,747527;-0,873765;0,298638; 117;4;;1,747550;-0,873769;0,298638; 259;10;;0,000000;-0,000000;1,08516e-21; 109;3
;-0,981414;1,265481;-1,747259;0,872241;0,298641; 430;15;;-1,751300;0,852054;0,299278; 1003;36;;-1,747552;0,873776;0,298638; 173;4
;0,664998;-0,455763;0,000076;-0,000486;2,10392e-07; 286;9;;0,000182;-0,000738;4,75986e-07; 190;7;;-0,000000;-0,000000;1,78568e-17; 107;3
;-0,821497;-1,058199;0,000120;-0,000206;4,645e-08; 226;7;;-0,000132;0,000291;8,079e-08; 196;7;;-1,747552;0,873776;0,298638; 195;5
;-0,793664;-0,908780;-0,000023;0,000047;2,2342e-09; 190;6;;-0,000128;0,000478;1,99762e-07; 196;7;;-1,747552;0,873776;0,298638; 190;5
;1,375835;-1,219092;1,747890;-0,875603;0,298642; 306;11;;1,747447;-0,874244;0,298639; 172;7;;1,747552;-0,873776;0,298638; 166;5
;1,561388;-1,081515;1,747475;-0,875287;0,298641; 309;12;;1,747571;-0,873853;0,298638; 134;6;;1,747552;-0,873777;0,298638; 106;3
;-0,305002;-1,008637;0,000100;-0,000159;2,93384e-08; 283;9;;-0,000090;0,000162;2,78846e-08; 130;5;;-0,000000;-0,000000;9,55381e-15; 109;3
;1,714347;1,238380;0,000133;0,000450;2,97846e-07; 177;5;;-0,000627;0,002206;4,27006e-06; 714;27;;1,747552;-0,873776;0,298638; 109;3
;1,000580;0,474319;-0,000030;-0,000311;1,07533e-07; 319;10;;0,000124;-0,000397;1,39475e-07; 436;15;;1,747552;-0,873776;0,298638; 178;4
;-1,519395;-0,947966;-1,747532;0,872015;0,298642; 397;14;;-1,747362;0,873385;0,298639; 208;8;;-1,747552;0,873776;0,298638; 178;5
;-0,052797;0,291330;-0,000059;0,000326;9,42739e-08; 253;8;;0,000023;-0,000129;1,4779e-08; 163;6;;0,000000;0,000000;4,58778e-15; 73;2
