w;l0;d0;l_star;d_star;masa_kg;ugiecie_mm;naprezenie_MPa;f_combined;f_calls
0,580000;949,827570;35,960265;200,000073;24,531963;0,843237;2,499878;275,970926;0,059407;221
0,590000;663,783685;20,132145;200,007421;24,958018;0,872813;2,333757;262,087275;0,061064;522
0,600000;475,643178;38,285775;200,000253;24,531613;0,843213;2,500028;275,982992;0,136472;216
0,610000;435,139012;20,375072;200,024651;24,533907;0,843474;2,500007;275,939254;0,066825;307
0,620000;549,424726;27,156285;200,000449;24,532040;0,843244;2,499861;275,968858;0,061781;208
0,630000;314,212470;35,635548;200,000075;24,531942;0,843235;2,499887;275,971638;0,062373;208
0,640000;676,894436;41,037324;200,000014;24,531791;0,843225;2,499946;275,976673;0,062966;221
0,650000;534,287545;29,767449;200,000382;24,531941;0,843236;2,499899;275,972106;0,063560;213
0,660000;295,706046;33,895993;200,000454;24,531861;0,843231;2,499934;275,974895;0,064153;208
0,670000;879,464095;21,816767;200,061490;24,537450;0,843873;2,499945;275,870550;0,064789;321
0,680000;263,698233;37,012543;200,000199;24,531792;0,843225;2,499953;275,976878;0,065339;205
0,690000;676,552629;32,229682;200,000309;24,531956;0,843237;2,499890;275,971494;0,065933;213
0,700000;585,680715;44,913175;200,000320;24,531828;0,843228;2,499943;275,975849;0,066526;221
0,710000;938,621174;26,337168;200,000348;24,531764;0,843224;2,499970;275,978045;0,067119;210
0,720000;704,654073;36,711020;200,000045;24,531832;0,843228;2,499931;275,975333;0,067712;216
0,730000;784,856716;36,350902;200,000268;24,531802;0,843226;2,499951;275,976649;0,068305;221
0,740000;281,984924;44,079409;200,000214;24,531714;0,843220;2,499985;275,979534;0,068898;213
0,750000;662,318796;23,129063;200,079083;24,539006;0,844054;2,499970;275,842329;0,069554;306
0,760000;391,729484;37,107761;200,000314;24,531658;0,843217;2,500012;275,981580;0,083919;213
0,770000;493,954283;18,949248;200,095077;24,540616;0,844232;2,499914;275,810091;0,070756;322
0,780000;653,773614;19,317911;200,000415;25,738315;0,928209;2,063146;238,957512;0,076939;323
0,790000;478,377636;32,559282;200,000446;24,531643;0,843216;2,500023;275,982258;0,123424;216
0,800000;231,202124;23,052156;200,005730;24,649944;0,851391;2,452569;272,034959;0,073016;387
0,810000;666,078677;17,727287;200,016332;24,533218;0,843391;2,499976;275,951033;0,073065;538
0,820000;616,980499;36,508377;200,000374;24,531649;0,843216;2,500018;275,981951;0,104287;216
0,830000;637,318033;26,578875;200,000432;24,532011;0,843241;2,499872;275,969823;0,074239;208
0,840000;534,067812;33,673818;200,000292;24,531907;0,843234;2,499909;275,973142;0,074831;216
0,850000;206,445509;48,926969;200,000112;24,531815;0,843227;2,499940;275,975990;0,075424;199
0,860000;875,289163;18,384045;200,113661;24,542228;0,844422;2,499953;275,781342;0,076120;324
